R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,weight_class,total_time_fought(sec),no_of_rounds,Red_win
Cezar Ferreira,Karl Roberson,0,0,0.83,0.66,0.66,0.0,1,0,3,0,0,0,Submission,1,2018-05-12,0,6,5,6,4,16,14,26,20,3,2,0,0,5,4,5,3,1,1,0,0,0,0,1,1,1,1,3,1,0,0,2,2,5,4,1,1,0,Middleweight,285,3,1
Aleksei Oleinik,Junior Albini,0,0,0.58,0.66,0.0,1.0,1,0,0,1,0,0,Submission,1,2018-05-12,0,17,10,15,10,17,10,15,10,3,0,1,1,12,6,11,7,3,2,3,2,2,2,1,1,17,10,13,9,0,0,2,1,0,0,0,0,0,Heavyweight,105,3,1
Davi Ramos,Nick Hein,0,0,0.5,0.16,1.0,0.0,1,0,2,0,0,0,Submission,1,2018-05-12,0,12,6,6,1,21,13,6,1,1,1,0,0,9,5,6,1,3,1,0,0,0,0,0,0,11,5,6,1,0,0,0,0,1,1,0,0,0,Lightweight,255,3,1
Elizeu Zaleski dos Santos,Sean Strickland,1,0,0.25,0.38,0.0,0.0,0,0,0,0,0,0,KO,1,2018-05-12,0,58,15,36,14,63,18,36,14,1,0,0,0,41,9,35,13,8,2,0,0,9,4,1,1,45,9,35,13,0,0,1,1,13,6,0,0,0,Welterweight,220,3,1
Warlley Alves,Sultan Aliev,0,0,0.58,0.42,0.0,0.33,0,0,0,0,0,0,KO,2,2018-05-12,0,50,29,28,12,78,54,30,14,1,0,3,1,20,7,24,10,19,12,4,2,11,10,0,0,28,10,21,7,22,19,7,5,0,0,0,0,0,Welterweight,600,3,1
Thales Leites,Jack Hermansson,0,0,0.64,0.62,0.33,1.0,3,1,4,1,0,0,KO,3,2018-05-12,0,17,11,56,35,27,20,71,49,9,3,3,3,11,5,43,25,1,1,6,4,5,5,7,6,9,6,30,14,1,1,2,2,7,4,24,19,0,Middleweight,730,3,0
Alberto Mina,Ramazan Emeev,0,0,0.14,0.46,0.2,0.5,0,0,0,0,0,0,Other,3,2018-05-12,0,82,12,84,39,87,16,100,54,5,1,6,3,65,5,67,28,11,3,14,8,6,4,3,3,79,11,57,24,2,1,9,4,1,0,18,11,0,Welterweight,900,3,0
Markus Perez,James Bochnovic,0,0,1.0,0.5,1.0,0.0,2,0,4,0,0,0,Submission,1,2018-05-12,0,4,4,6,3,16,13,8,4,1,1,1,0,3,3,3,1,1,1,3,2,0,0,0,0,0,0,3,1,1,1,2,1,3,3,1,1,0,Middleweight,268,3,1
Edson Barboza,Kevin Lee,0,0,0.48,0.58,0.0,0.44,0,0,0,11,0,0,KO,5,2018-04-21,0,106,51,241,142,119,64,344,233,1,0,9,4,73,26,236,138,26,20,4,3,7,5,1,1,102,47,122,46,2,2,0,0,2,2,119,96,0,Lightweight,1338,5,0
Frankie Edgar,Cub Swanson,0,0,0.42,0.36,0.0,0.0,0,0,0,0,0,0,Other,3,2018-04-21,0,136,58,130,48,139,60,132,50,8,0,0,0,106,33,110,32,10,6,15,11,20,19,5,5,126,52,122,42,10,6,8,6,0,0,0,0,0,Featherweight,900,3,1
Justin Willis,Chase Sherman,1,0,0.69,0.5,0.5,0.0,0,0,1,0,0,0,Other,3,2018-04-21,0,109,76,137,69,153,118,180,112,2,1,0,0,101,68,90,34,8,8,33,24,0,0,14,11,82,53,120,53,7,6,16,15,20,17,1,1,0,Heavyweight,900,3,1
David Branch,Thiago Santos,1,0,0.33,0.48,0.0,0.0,0,0,1,0,0,0,KO,1,2018-04-21,0,15,5,29,14,15,5,29,14,1,0,0,0,14,5,17,4,1,0,3,2,0,0,9,8,11,1,29,14,0,0,0,0,4,4,0,0,0,Middleweight,150,3,1
Aljamain Sterling,Brett Johns,0,0,0.58,0.3,0.33,0.2,0,0,2,1,1,0,Other,3,2018-04-21,0,152,89,89,27,181,117,119,56,9,3,5,1,88,40,79,23,51,37,8,4,13,12,2,0,103,53,76,17,32,26,13,10,17,10,0,0,0,Bantamweight,900,3,1
Jim Miller,Dan Hooker,0,1,0.5,0.54,0.5,0.0,0,0,0,0,0,0,KO,1,2018-04-21,0,20,10,44,24,23,13,44,24,2,1,0,0,16,6,33,15,2,2,4,4,2,2,7,5,17,8,43,23,3,2,0,0,0,0,1,1,0,Lightweight,180,3,0
Ryan LaFlare,Alex Garcia,0,0,0.5,0.2,0.16,0.71,0,0,1,1,1,0,Other,3,2018-04-21,0,48,24,54,11,71,47,66,21,6,1,7,5,27,5,46,6,19,17,7,4,2,2,1,1,38,17,46,7,6,3,7,3,4,4,1,1,0,Welterweight,900,3,1
Merab Dvalishvili,Ricky Simon,1,0,0.29,0.33,0.27,0.28,0,1,0,2,0,1,KO,3,2018-04-21,0,210,61,103,34,233,82,108,38,22,6,7,2,185,42,91,25,12,8,9,6,13,11,3,3,194,56,95,28,15,5,7,5,1,0,1,1,0,Bantamweight,900,3,0
Siyar Bahadurzada,Luan Chagas,1,0,0.51,0.29,1.0,0.0,0,0,0,1,0,1,KO,2,2018-04-21,0,64,33,37,11,94,61,58,31,1,1,1,0,51,20,26,7,9,9,6,1,4,4,5,3,52,24,34,9,3,2,1,1,9,7,2,1,0,Welterweight,460,3,1
Corey Anderson,Patrick Cummins,0,0,0.53,0.31,0.92,0.0,0,0,6,0,0,0,Other,3,2018-04-21,0,119,64,99,31,162,99,113,44,13,12,1,0,107,56,85,24,10,6,12,6,2,2,2,1,85,38,79,18,22,16,19,12,12,10,1,1,0,Light Heavyweight,900,3,1
Anthony Rocco Martin,Keita Nakamura,0,0,0.42,0.28,0.0,0.4,2,0,1,0,1,0,Other,3,2018-04-21,0,133,56,83,24,142,65,85,26,0,0,5,2,124,48,70,16,6,5,9,6,3,3,4,2,121,49,82,23,9,4,1,1,3,3,0,0,0,Welterweight,900,3,1
Dustin Poirier,Justin Gaethje,0,0,0.49,0.54,0.0,0.0,0,0,0,0,0,0,KO,4,2018-04-14,0,351,174,212,115,357,179,213,116,5,0,0,0,314,142,143,56,26,21,12,9,11,11,57,50,338,162,194,98,13,12,18,17,0,0,0,0,0,Lightweight,933,5,1
Carlos Condit,Alex Oliveira,0,0,0.66,0.39,1.0,1.0,1,1,2,4,1,0,Submission,2,2018-04-14,0,18,12,23,9,49,42,37,22,1,1,3,3,12,6,22,8,2,2,1,1,4,4,0,0,11,6,8,1,0,0,0,0,7,6,15,8,0,Welterweight,497,3,0
Israel Adesanya,Marvin Vettori,0,0,0.46,0.29,0.0,0.33,0,0,0,1,0,0,Other,3,2018-04-14,0,123,57,154,46,134,67,169,60,1,0,6,2,92,31,122,20,12,11,8,7,19,15,24,19,123,57,152,44,0,0,2,2,0,0,0,0,0,Middleweight,900,3,1
Michelle Waterson,Cortney Casey,0,0,0.72,0.37,0.75,0.0,0,3,0,1,0,0,Other,3,2018-04-14,0,84,61,96,36,103,77,126,64,4,3,1,0,49,30,79,22,15,13,8,7,20,18,9,7,61,41,82,22,7,6,9,9,16,14,5,5,0,Women's Strawweight,900,3,1
Tim Boetsch,Antonio Carlos Junior,0,0,0.38,0.64,0.0,0.5,0,1,0,1,0,0,Submission,1,2018-04-14,0,18,7,48,31,24,13,52,35,0,0,2,1,14,4,40,23,2,1,4,4,2,2,4,4,18,7,34,20,0,0,2,2,0,0,12,9,0,Middleweight,268,3,0
Muslim Salikhov,Ricky Rainey,1,0,0.52,0.43,0.0,0.0,0,0,0,0,0,0,KO,2,2018-04-14,0,48,25,44,19,49,26,46,21,2,0,1,0,32,10,26,6,8,8,7,6,8,7,11,7,44,22,34,15,1,0,10,4,3,3,0,0,0,Welterweight,552,3,1
Wilson Reis,John Moraga,0,0,0.19,0.5,0.5,0.0,0,1,8,1,0,2,Other,3,2018-04-14,0,61,12,91,46,127,61,116,69,16,8,0,0,52,6,73,30,4,1,14,12,5,5,4,4,61,12,76,34,0,0,7,6,0,0,8,6,0,Flyweight,900,3,0
Krzysztof Jotko,Brad Tavares,0,1,0.32,0.47,0.0,0.0,0,0,0,0,0,0,KO,3,2018-04-14,0,74,24,96,46,90,40,115,62,3,0,1,0,62,18,64,23,6,3,15,6,6,3,17,17,55,13,76,33,19,11,10,7,0,0,10,6,0,Middleweight,736,3,0
Gilbert Burns,Dan Moret,1,0,0.47,0.34,1.0,0.0,0,0,2,0,0,0,KO,2,2018-04-14,0,65,31,58,20,74,39,58,20,2,2,0,0,55,22,43,10,9,8,9,4,1,1,6,6,57,28,57,19,2,1,1,1,6,2,0,0,0,Lightweight,359,3,1
Shana Dobson,Lauren Mueller,0,0,0.33,0.37,0.25,1.0,0,0,0,1,0,0,Other,3,2018-04-14,0,206,68,156,58,213,74,171,70,4,1,2,2,158,34,119,31,36,23,29,20,12,11,8,7,198,62,147,54,8,6,7,4,0,0,2,0,0,Women's Flyweight,900,3,0
Dhiego Lima,Yushin Okami,0,0,0.45,0.78,0.0,0.46,0,0,0,6,0,0,Other,3,2018-04-14,0,24,11,19,15,31,17,66,57,0,0,13,6,16,6,18,14,6,3,0,0,2,2,1,1,19,6,3,2,3,3,0,0,2,2,16,13,0,Welterweight,900,3,0
Arjan Bhullar,Adam Wieczorek,0,0,0.5,0.48,0.66,0.0,0,1,1,0,0,0,Submission,2,2018-04-14,0,18,9,27,13,60,42,28,14,3,2,0,0,18,9,14,2,0,0,6,4,0,0,7,7,11,5,22,10,1,1,1,1,6,3,4,2,0,Heavyweight,419,3,0
Matthew Lopez,Alejandro Perez,0,0,0.61,0.44,0.42,0.0,2,0,2,0,0,0,KO,2,2018-04-14,0,36,22,100,44,47,32,142,81,7,3,1,0,28,14,79,27,7,7,8,8,1,1,13,9,33,19,92,39,1,1,8,5,2,2,0,0,0,Bantamweight,522,3,0
Luke Sanders,Patrick Williams,1,0,0.42,0.55,0.0,0.2,0,0,0,0,0,0,Other,3,2018-04-14,0,140,59,109,61,143,62,117,68,0,0,5,1,121,44,56,15,16,13,20,15,3,2,33,31,119,44,94,53,19,13,15,8,2,2,0,0,0,Bantamweight,900,3,1
Khabib Nurmagomedov,Al Iaquinta,0,0,0.44,0.29,0.4,0.0,1,0,7,0,0,0,Other,5,2018-04-07,0,304,134,141,41,352,172,143,43,15,6,1,0,287,122,117,27,12,7,20,11,5,5,4,3,255,100,141,41,0,0,0,0,49,34,0,0,1,Lightweight,1500,5,1
Rose Namajunas,Joanna Jedrzejczyk,0,0,0.34,0.4,0.5,0.0,0,0,0,0,0,0,Other,5,2018-04-07,0,301,105,356,145,304,108,372,160,2,1,0,0,270,85,257,64,24,15,37,27,7,5,62,54,301,105,342,135,0,0,14,10,0,0,0,0,1,Women's Strawweight,1500,5,1
Renato Moicano,Calvin Kattar,0,0,0.56,0.29,0.0,0.0,0,0,0,0,0,0,Other,3,2018-04-07,0,206,116,140,41,207,117,140,41,0,0,2,0,133,60,131,35,27,18,8,5,46,38,1,1,205,115,140,41,1,1,0,0,0,0,0,0,0,Featherweight,900,3,1
Zabit Magomedsharipov,Kyle Bochniak,0,0,0.44,0.26,0.45,0.0,0,0,1,0,0,0,Other,3,2018-04-07,0,217,97,163,43,237,114,164,44,11,5,2,0,188,75,149,34,14,11,13,9,15,11,1,0,207,89,162,42,2,1,1,1,8,7,0,0,0,Featherweight,900,3,1
Joe Lauzon,Chris Gruetzemacher,0,0,0.35,0.65,0.0,0.0,0,0,0,0,0,0,KO,2,2018-04-07,0,137,48,196,128,138,49,203,135,2,0,0,0,125,40,135,72,10,7,50,45,2,1,11,11,113,35,118,68,22,11,65,51,2,2,13,9,0,Lightweight,600,3,0
Karolina Kowalkiewicz,Felice Herrig,0,0,0.5,0.39,0.0,0.0,0,0,1,0,1,0,Other,3,2018-04-07,0,248,126,216,86,262,140,228,97,3,0,5,0,191,82,181,62,42,31,25,19,15,13,10,5,192,80,178,62,53,43,38,24,3,3,0,0,0,Women's Strawweight,900,3,1
Evan Dunham,Olivier Aubin-Mercier,0,1,0.28,0.72,0.0,0.0,0,0,0,0,0,0,KO,1,2018-04-07,0,14,4,18,13,14,4,18,13,0,0,0,0,14,4,14,9,0,0,4,4,0,0,0,0,13,3,5,3,1,1,9,8,0,0,4,2,0,Lightweight,53,3,0
Bec Rawlings,Ashlee Evans-Smith,0,0,0.45,0.35,0.0,0.25,0,0,0,0,0,0,Other,3,2018-04-07,0,195,88,331,116,196,89,337,121,0,0,4,1,147,46,276,81,18,14,36,20,30,28,19,15,188,82,305,101,7,6,25,14,0,0,1,1,0,Women's Flyweight,900,3,0
Devin Clark,Mike Rodriguez,0,0,0.78,0.6,0.63,0.0,0,0,2,0,0,0,Other,3,2018-04-07,0,64,50,66,40,200,167,95,66,11,7,0,0,38,30,39,17,16,12,23,21,10,8,4,2,24,17,35,11,24,19,29,27,16,14,2,2,0,Light Heavyweight,900,3,1
Fabricio Werdum,Alexander Volkov,0,1,0.54,0.53,0.33,1.0,0,0,3,0,2,0,KO,4,2018-03-17,0,88,48,90,48,130,83,144,96,9,3,2,2,66,30,75,37,14,12,11,8,8,6,4,3,41,22,71,32,2,1,5,3,45,25,14,13,0,Heavyweight,998,5,0
Jimi Manuwa,Jan Blachowicz,0,1,0.33,0.5,0.0,0.16,0,0,0,0,0,0,Other,3,2018-03-17,0,110,37,191,97,110,37,219,124,2,0,6,1,79,16,171,81,23,17,15,11,8,4,5,5,104,32,178,88,6,5,12,8,0,0,1,1,0,Light Heavyweight,900,3,0
Tom Duquesnoy,Terrion Ware,0,0,0.43,0.31,0.0,0.33,0,0,0,1,0,0,Other,3,2018-03-17,0,153,67,267,85,156,70,295,108,3,0,6,2,104,28,234,60,18,8,21,15,31,31,12,10,150,66,248,71,3,1,10,6,0,0,9,8,0,Bantamweight,900,3,1
Leon Edwards,Peter Sobotta,1,0,0.48,0.37,0.5,0.25,0,0,4,1,1,0,KO,3,2018-03-17,0,86,42,43,16,117,71,90,57,2,1,4,1,78,37,34,8,6,5,4,3,2,0,5,5,50,16,42,15,1,1,1,1,35,25,0,0,0,Welterweight,899,3,1
John Phillips,Charles Byrd,0,0,0.0,0.78,0.0,1.0,0,1,0,3,0,0,Submission,1,2018-03-17,0,1,0,14,11,2,1,41,34,0,0,1,1,1,0,14,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13,11,0,Middleweight,238,3,0
Danny Roberts,Oliver Enkamp,1,0,0.4,0.58,0.0,0.0,0,0,0,0,0,0,KO,1,2018-03-17,0,10,4,12,7,10,4,14,8,0,0,1,0,8,2,4,1,1,1,1,1,1,1,7,5,8,3,10,5,1,0,2,2,1,1,0,0,0,Welterweight,132,3,1
Danny Henry,Hakeem Dawodu,1,0,0.4,1.0,0.0,0.0,1,0,0,0,0,0,Submission,1,2018-03-17,0,5,2,3,3,5,2,3,3,0,0,0,0,4,2,1,1,1,0,0,0,0,0,2,2,4,2,3,3,0,0,0,0,1,0,0,0,0,Featherweight,39,3,1
Paul Craig,Magomed Ankalaev,0,0,0.36,0.61,0.28,0.0,1,0,1,3,0,2,Submission,3,2018-03-17,0,50,18,96,59,70,34,129,89,7,2,0,0,30,2,70,36,14,10,21,19,6,6,5,4,41,12,44,20,7,6,11,8,2,0,41,31,0,Light Heavyweight,899,3,1
Stevie Ray,Kajan Johnson,0,0,0.38,0.61,0.75,0.5,1,0,1,2,0,0,Other,3,2018-03-17,0,62,24,54,33,78,37,58,37,4,3,4,2,52,18,22,7,3,1,16,13,7,5,16,13,51,16,42,24,2,1,1,0,9,7,11,9,0,Lightweight,900,3,0
Mark Godbeer,Dmitry Sosnovskiy,0,0,0.64,0.7,0.0,0.66,0,2,1,5,1,1,Submission,2,2018-03-17,0,37,24,40,28,91,73,71,53,1,0,3,2,24,11,32,22,12,12,7,5,1,1,1,1,17,7,18,10,4,3,8,5,16,14,14,13,0,Heavyweight,569,3,0
Cris Cyborg,Yana Kunitskaya,0,0,0.76,0.45,1.0,0.25,0,0,0,1,0,0,KO,1,2018-03-03,1,43,33,11,5,54,42,24,17,1,1,4,1,31,22,4,2,12,11,5,1,0,0,2,2,13,10,9,3,8,8,1,1,22,15,1,1,1,Women's Featherweight,205,5,1
Frankie Edgar,Brian Ortega,0,1,0.35,0.32,0.0,0.0,0,0,0,0,0,0,KO,1,2018-03-03,1,77,27,76,25,77,27,77,25,1,0,0,0,59,12,71,21,13,10,4,3,5,5,1,1,76,27,66,17,1,0,8,6,0,0,2,2,0,Featherweight,284,3,0
Sean O'Malley,Andre Soukhamthath,0,0,0.56,0.41,0.0,0.57,3,0,1,4,1,0,Other,3,2018-03-03,1,111,63,60,25,121,73,79,42,0,0,7,4,83,41,37,7,21,15,12,9,7,7,11,9,100,53,50,16,2,1,1,1,9,9,9,8,0,Bantamweight,900,3,1
Stefan Struve,Andrei Arlovski,0,0,0.45,0.52,0.0,0.44,0,0,0,2,1,1,Other,3,2018-03-03,1,74,34,88,46,78,37,121,76,3,0,9,4,40,9,42,12,16,8,26,16,18,17,20,18,69,32,82,42,0,0,3,2,5,2,3,2,0,Heavyweight,900,3,0
Cat Zingano,Ketlen Vieira,0,0,0.55,0.57,0.0,1.0,0,1,0,7,0,0,Other,3,2018-03-03,1,106,59,71,41,128,77,139,96,2,0,2,2,70,33,60,32,25,17,8,6,11,9,3,3,69,31,43,17,24,19,13,9,13,9,15,15,0,Women's Bantamweight,900,3,0
Ashley Yoder,Mackenzie Dern,1,0,0.36,0.48,0.0,0.16,0,1,0,1,0,0,Other,3,2018-03-03,1,142,52,143,70,165,73,149,76,0,0,6,1,109,27,111,39,23,17,15,14,10,8,17,17,125,37,113,43,17,15,21,19,0,0,9,8,0,Women's Strawweight,900,3,0
Beneil Dariush,Alexander Hernandez,0,1,0.36,0.61,0.0,0.0,0,0,0,1,0,0,KO,1,2018-03-03,1,11,4,13,8,11,4,14,9,0,0,0,0,7,2,10,5,3,1,3,3,1,1,0,0,11,4,11,6,0,0,0,0,0,0,2,2,0,Lightweight,42,3,0
John Dodson,Pedro Munhoz,0,0,0.41,0.4,0.0,1.0,0,0,0,0,0,0,Other,3,2018-03-03,1,184,76,172,69,184,76,176,73,0,0,1,1,151,47,118,39,26,22,39,21,7,7,15,9,181,76,165,63,3,0,5,4,0,0,2,2,0,Bantamweight,900,3,1
CB Dollaway,Hector Lombard,0,1,0.68,0.57,0.0,0.0,0,0,0,0,0,0,Other,1,2018-03-03,1,19,13,33,19,19,13,33,19,0,0,0,0,7,4,18,8,11,8,4,2,1,1,11,9,18,12,32,18,1,1,1,1,0,0,0,0,0,Middleweight,300,3,1
Mike Pyle,Zak Ottow,0,1,0.2,0.44,0.0,0.0,0,0,0,0,0,0,KO,1,2018-03-03,1,20,4,50,22,20,4,56,26,0,0,0,0,15,1,40,18,5,3,8,2,0,0,2,2,20,4,29,9,0,0,0,0,0,0,21,13,0,Welterweight,154,3,0
Bryan Caraway,Cody Stamann,0,0,0.35,0.57,0.04,0.0,0,0,3,0,0,0,Other,3,2018-03-03,1,168,59,166,95,236,116,186,115,23,1,1,0,156,50,132,67,7,4,26,21,5,5,8,7,147,50,128,65,20,8,38,30,1,1,0,0,0,Bantamweight,900,3,0
Jordan Johnson,Adam Milstead,0,0,0.55,0.43,0.18,0.0,0,0,0,0,0,0,Other,3,2018-03-03,1,106,59,133,58,239,176,145,70,11,2,0,0,88,44,121,47,9,7,7,6,9,8,5,5,101,57,113,44,5,2,19,13,0,0,1,1,0,Light Heavyweight,900,3,1
Josh Emmett,Jeremy Stephens,1,1,0.45,0.42,0.0,0.0,0,0,0,0,0,0,KO,2,2018-02-24,0,40,18,57,24,43,21,57,24,0,0,0,0,30,9,46,18,6,5,8,4,4,4,3,2,32,13,49,19,0,0,0,0,8,5,8,5,0,Featherweight,395,5,0
Jessica Andrade,Tecia Torres,0,0,0.51,0.46,0.83,1.0,0,0,8,1,1,0,Other,3,2018-02-24,0,178,92,150,69,237,151,171,88,12,10,2,2,124,46,132,54,50,43,9,6,4,3,9,9,113,37,133,61,26,17,13,5,39,38,4,3,0,Women's Strawweight,900,3,1
Ovince Saint Preux,Ilir Latifi,0,1,0.29,0.6,0.0,0.0,0,1,0,0,0,0,Submission,1,2018-02-24,0,24,7,41,25,24,7,43,27,0,0,0,0,18,2,25,11,3,2,6,5,3,3,10,9,24,7,34,19,0,0,1,1,0,0,6,5,0,Light Heavyweight,228,3,0
Mike Perry,Max Griffin,0,1,0.4,0.46,0.25,0.0,0,0,1,0,0,0,Other,3,2018-02-24,0,110,45,168,78,110,45,171,81,4,1,1,0,77,23,138,58,18,8,15,7,15,14,15,13,108,44,163,74,2,1,1,1,0,0,4,3,0,Welterweight,900,3,0
Renan Barao,Brian Kelleher,0,0,0.5,0.46,0.0,0.25,0,0,0,0,0,0,Other,3,2018-02-24,0,228,116,203,94,247,134,256,145,2,0,4,1,167,78,175,74,43,27,21,13,18,11,7,7,204,95,195,86,24,21,8,8,0,0,0,0,0,Bantamweight,900,3,0
Sara McMann,Marion Reneau,0,0,0.18,0.58,0.4,0.0,0,1,1,0,0,0,Submission,2,2018-02-24,0,49,9,39,23,120,76,55,37,5,2,0,0,42,5,38,23,5,2,1,0,2,2,0,0,45,6,24,11,4,3,2,1,0,0,13,11,0,Women's Bantamweight,520,3,0
Maryna Moroz,Angela Hill,0,0,0.26,0.54,0.0,0.5,0,0,0,1,0,0,Other,3,2018-02-24,0,321,84,209,114,339,100,216,121,2,0,2,1,241,39,144,63,62,32,37,26,18,13,28,25,304,78,182,89,16,6,24,22,1,0,3,3,0,Women's Strawweight,900,3,0
Ben Saunders,Alan Jouban,0,2,0.41,0.55,0.0,0.0,0,0,0,1,0,0,KO,2,2018-02-24,0,79,33,141,78,80,34,141,78,0,0,0,0,60,21,109,53,14,8,13,10,5,4,19,15,65,25,110,60,13,8,28,16,1,0,3,2,0,Welterweight,458,3,0
Sam Alvey,Marcin Prachnio,2,0,0.52,0.62,1.0,0.0,0,0,1,0,0,0,KO,1,2018-02-24,0,19,10,24,15,23,14,45,36,1,1,0,0,12,3,10,3,1,1,6,4,6,6,8,8,17,9,20,12,1,1,4,3,1,0,0,0,0,Light Heavyweight,263,3,1
Rani Yahya,Russell Doane,0,0,0.85,0.25,0.66,1.0,2,0,5,1,1,0,Submission,3,2018-02-24,0,20,17,8,2,149,105,30,15,3,2,1,1,4,1,5,0,14,14,3,2,2,2,0,0,5,2,8,2,0,0,0,0,15,15,0,0,0,Bantamweight,752,3,1
Eric Shelton,Alex Perez,0,0,0.37,0.35,0.0,0.55,0,0,0,1,0,0,Other,3,2018-02-24,0,109,41,82,29,140,72,123,67,2,0,9,5,98,30,64,15,9,9,6,3,2,2,12,11,98,31,73,24,2,1,4,1,9,9,5,4,0,Flyweight,900,3,0
Albert Morales,Manny Bermudez,0,0,0.35,0.42,1.0,0.2,0,3,1,4,1,2,Submission,2,2018-02-24,0,54,19,28,12,66,30,43,27,1,1,5,1,50,16,28,12,2,1,0,0,2,2,0,0,43,12,19,6,0,0,0,0,11,7,9,6,0,Bantamweight,453,3,0
Donald Cerrone,Yancy Medeiros,3,0,0.49,0.31,0.0,0.0,0,0,0,0,0,0,KO,1,2018-02-18,0,57,28,79,25,57,28,80,26,1,0,0,0,45,16,70,17,11,11,9,8,1,1,0,0,52,24,76,22,1,1,3,3,4,3,0,0,0,Welterweight,298,5,1
Derrick Lewis,Marcin Tybura,2,0,0.66,0.66,0.5,0.5,0,1,2,8,0,1,KO,3,2018-02-18,0,45,30,56,37,47,32,104,83,2,1,2,1,42,27,32,19,2,2,11,8,1,1,13,10,13,7,20,9,4,3,5,5,28,20,31,23,0,Heavyweight,768,3,1
James Vick,Francisco Trinaldo,1,0,0.43,0.28,0.5,1.0,0,1,0,2,0,0,Other,3,2018-02-18,0,158,68,90,26,162,72,91,27,2,1,3,3,100,24,67,10,50,38,20,16,8,6,3,0,147,60,86,23,6,4,4,3,5,4,0,0,0,Lightweight,900,3,1
Thiago Alves,Curtis Millender,0,2,0.31,0.44,1.0,0.0,0,0,1,0,0,0,KO,2,2018-02-18,0,106,33,106,47,110,37,106,47,1,1,0,0,63,3,85,31,3,3,10,7,40,27,11,9,106,33,100,44,0,0,0,0,0,0,6,3,0,Welterweight,557,3,0
Steven Peterson,Brandon Davis,0,0,0.25,0.4,0.1,0.0,0,0,1,1,0,0,Other,3,2018-02-18,0,286,73,285,114,296,82,291,119,10,1,1,0,257,55,243,83,18,12,19,12,11,6,23,19,271,65,278,108,12,6,6,6,3,2,1,0,0,Featherweight,900,3,0
Sage Northcutt,Thibault Gouti,0,0,0.45,0.42,0.11,0.8,0,1,1,2,0,0,Other,3,2018-02-18,0,138,63,66,28,204,125,68,30,9,1,5,4,102,32,49,21,20,16,6,2,16,15,11,5,114,41,63,25,10,9,0,0,14,13,3,3,0,Lightweight,900,3,1
Jared Gordon,Diego Ferreira,0,1,0.47,0.48,0.0,0.0,0,0,0,2,0,0,KO,1,2018-02-18,0,17,8,60,29,17,8,60,29,1,0,0,0,17,8,54,24,0,0,4,3,0,0,2,2,17,8,44,13,0,0,0,0,0,0,16,16,0,Lightweight,118,3,0
Geoff Neal,Brian Camozzi,0,0,0.45,0.24,0.0,0.0,1,0,0,0,0,0,Submission,1,2018-02-18,0,31,14,29,7,32,15,32,9,0,0,0,0,28,11,22,3,1,1,5,2,2,2,2,2,31,14,28,7,0,0,1,0,0,0,0,0,0,Welterweight,168,3,1
Roberto Sanchez,Joby Sanchez,0,0,0.66,0.2,1.0,0.0,1,0,2,0,0,0,Submission,1,2018-02-18,0,3,2,5,1,3,2,9,5,3,3,0,0,2,1,5,1,0,0,0,0,1,1,0,0,3,2,5,1,0,0,0,0,0,0,0,0,0,Flyweight,110,3,1
Sarah Moras,Lucie Pudilova,0,2,0.35,0.55,0.4,0.0,2,0,1,2,0,1,Other,3,2018-02-18,0,121,43,134,75,165,80,171,107,5,2,0,0,108,33,128,70,10,8,3,3,3,2,3,2,67,12,93,48,5,3,6,5,49,28,35,22,0,Women's Bantamweight,900,3,0
Joshua Burkman,Alex Morono,0,1,0.3,0.36,0.0,0.0,0,1,0,0,0,0,Submission,1,2018-02-18,0,13,4,19,7,13,4,19,7,0,0,0,0,5,0,12,2,3,0,0,0,5,4,7,5,13,4,19,7,0,0,0,0,0,0,0,0,0,Welterweight,132,3,0
Oskar Piechota,Tim Williams,1,0,0.77,0.44,0.0,0.0,0,0,0,0,0,0,KO,1,2018-02-18,0,22,17,18,8,22,17,18,8,0,0,0,0,18,13,12,4,2,2,0,0,2,2,6,4,14,10,18,8,0,0,0,0,8,7,0,0,0,Middleweight,114,3,1
