fighter_name,DOB,Height,Reach,Stance,Weight
Yan Cabral,13-May-83,"5' 11""","73""",Orthodox,155 lbs.
Alvin Cacdac,,"5' 6""",,Orthodox,125 lbs.
Alex Caceres,20-Jun-88,"5' 10""","73""",Southpaw,145 lbs.
Priscila Cachoeira,19-Aug-88,"5' 7""","65""",Orthodox,125 lbs.
Travis Calanoc,,"5' 8""",,Orthodox,145 lbs.
Joanne Calderwood,23-Dec-85,"5' 6""","65""",Orthodox,125 lbs.
Darrion Caldwell,19-Dec-87,"5' 10""",,,135 lbs.
Cynthia Calvillo,13-Jul-87,"5' 4""","64""",Orthodox,115 lbs.
Joe Camacho,10-Mar-72,"5' 9""",,Orthodox,155 lbs.
Frank Camacho,18-May-89,"5' 10""","73""",Orthodox,170 lbs.
Fabricio Camoes,23-Dec-78,"5' 10""","73""",Orthodox,155 lbs.
Chris Camozzi,20-Nov-86,"6' 2""","76""",Orthodox,185 lbs.
Brian Camozzi,24-Jun-91,"6' 2""","78""",Orthodox,170 lbs.
Mike Campbell,,"5' 9""",,Southpaw,155 lbs.
Shane Campbell,21-Jan-87,"6' 0""","71""",Orthodox,155 lbs.
John Campetella,,"5' 9""",,Orthodox,235 lbs.
Wagner Campos,31-Jul-81,"5' 6""",,Southpaw,145 lbs.
Derek Campos,1-Apr-88,"5' 9""",,,155 lbs.
Will Campuzano,27-May-86,"5' 9""","70""",Orthodox,125 lbs.
Aleksa Camur,25-Sep-95,"6' 1""","74""",Orthodox,205 lbs.
Chico Camus,26-Jan-85,"5' 6""","66""",Orthodox,125 lbs.
Asbel Cancio,,"5' 10""",,,225 lbs.
Carlos Candelario,4-Jun-91,"5' 8""","67""",Southpaw,125 lbs.
Ronaldo Candido,24-Apr-89,"5' 6""",,Southpaw,125 lbs.
Luiz Cane,24-Apr-81,"6' 2""","77""",Southpaw,185 lbs.
Guido Cannetti,19-Dec-79,"5' 6""","68""",Southpaw,135 lbs.
Jared Cannonier,16-Mar-84,"5' 11""","77""",Switch,185 lbs.
Jose Canseco,2-Jul-64,"6' 4""",,Orthodox,240 lbs.
Bo Cantrell,8-Feb-69,"6' 2""",,Orthodox,235 lbs.
Steve Cantwell,8-Dec-86,"6' 2""","75""",Orthodox,185 lbs.
Phil Caracappa,5-Jun-92,"5' 8""","70""",Orthodox,135 lbs.
Gina Carano,16-Apr-82,"5' 8""",,Orthodox,145 lbs.
Dos Caras Jr.,25-May-77,"6' 4""",,Orthodox,225 lbs.
Bryan Caraway,4-Aug-84,"5' 8""","68""",Orthodox,135 lbs.
Remo Cardarelli,,,,,135 lbs.
Phil Cardella,9-Jul-76,"5' 11""",,,155 lbs.
Chris Cariaso,27-May-81,"5' 3""","63""",Southpaw,125 lbs.
Ronald Carillo,,,,,125 lbs.
Rafael Carino,,"6' 8""",,Orthodox,245 lbs.
Antonio Carlos Junior,16-Mar-90,"6' 2""","79""",Orthodox,185 lbs.
Spike Carlyle,6-May-93,"5' 8""","71""",Switch,145 lbs.
Francis Carmont,11-Oct-81,"6' 3""","78""",Orthodox,205 lbs.
Liz Carmouche,19-Feb-84,"5' 6""","66""",Orthodox,125 lbs.
Roan Carneiro,2-Jun-78,"5' 11""","74""",Orthodox,170 lbs.
Renato Moicano,21-May-89,"5' 11""","72""",Orthodox,155 lbs.
Ariane Carnelossi,17-Nov-92,"5' 2""","61""",Orthodox,115 lbs.
Luana Carolina,11-Jun-93,"5' 6""","69""",Orthodox,125 lbs.
Tim Caron,24-Jul-87,"6' 1""",,Orthodox,185 lbs.
Cody Carrillo,,"5' 10""",,,155 lbs.
Cain Carrizosa,22-Jul-86,"5' 8""","74""",Orthodox,155 lbs.
Scott Carson,,"6' 2""",,,215 lbs.
Shonie Carter,3-May-72,"5' 10""",,Southpaw,170 lbs.
Bruno Carvalho,7-Jun-82,"5' 8""",,,154 lbs.
Antonio Carvalho,30-May-79,"5' 9""","68""",Orthodox,145 lbs.
Rafael Carvalho,27-Jul-86,"6' 3""",,,185 lbs.
Shane Carwin,4-Jan-75,"6' 2""","80""",Orthodox,265 lbs.
Johnny Case,28-Jun-89,"5' 10""","72""",Orthodox,155 lbs.
Kevin Casey,15-Jun-81,"5' 11""","77""",Southpaw,185 lbs.
Cortney Casey,5-May-87,"5' 7""","67""",Orthodox,125 lbs.
Brandon Cash,,"6' 5""",,Orthodox,255 lbs.
Bendy Casimir,10-Jun-80,"5' 5""",,Southpaw,145 lbs.
Dwayne Cason,,"5' 10""",,Orthodox,212 lbs.
Joe Cason,19-Jan-88,"6' 3""",,,205 lbs.
John Castaneda,18-Dec-91,"5' 7""","70""",Switch,135 lbs.
Gil Castillo,21-Oct-65,"5' 9""",,Southpaw,170 lbs.
Danny Castillo,25-Aug-79,"5' 9""","71""",Orthodox,155 lbs.
Raul Castillo,,"5' 11""",,Orthodox,185 lbs.
Jenna Castillo,5-May-82,"5' 2""",,,125 lbs.
Tim Catalfo,,"5' 11""",,Orthodox,235 lbs.
Nick Catone,1-Sep-81,"6' 0""","72""",Southpaw,185 lbs.
Luke Caudillo,30-Nov-80,"5' 7""",,Orthodox,155 lbs.
Gesias Cavalcante,6-Jul-83,"5' 8""","71""",Orthodox,155 lbs.
Rafael Feijao,14-Apr-80,"6' 1""","73""",Orthodox,205 lbs.
Magnus Cedenblad,10-Apr-82,"6' 5""","79""",Orthodox,185 lbs.
Yosdenis Cedeno,12-Feb-85,"5' 8""","69""",Orthodox,155 lbs.
Henry Cejudo,9-Feb-87,"5' 4""","64""",Orthodox,135 lbs.
Adam Cella,26-Jun-85,"6' 2""","78""",,170 lbs.
Donald Cerrone,29-Mar-83,"6' 1""","73""",Orthodox,155 lbs.
Jared Chaffee,15-Dec-84,"5' 10""",,,155 lbs.
Luan Chagas,17-Jun-93,"6' 0""","75""",Orthodox,170 lbs.
Ansar Chalangov,30-Oct-79,"5' 9""",,Orthodox,170 lbs.
Alex Chambers,25-Oct-78,"5' 3""","63""",Southpaw,115 lbs.
Mike Chandler,24-Apr-86,"5' 8""",,,155 lbs.
Donnie Chappell,,"5' 11""",,Southpaw,178 lbs.
Joe Charles,,"6' 1""",,Southpaw,260 lbs.
Dan Charles,24-Sep-85,"6' 2""",,,228 lbs.
Ernest Chavez,27-Jun-83,"5' 8""","70""",Orthodox,145 lbs.
Gabriel Checco,3-Apr-86,"6' 1""",,Switch,185 lbs.
Albert Cheng,7-Feb-85,"5' 11""",,Orthodox,170 lbs.
Fabio Cherant,25-Nov-94,"6' 1""",,Southpaw,205 lbs.
Mark Cherico,12-May-86,"5' 7""","69""",Orthodox,145 lbs.
Macy Chiasson,27-Jul-91,"5' 11""","72""",Orthodox,135 lbs.
Michael Chiesa,7-Dec-87,"6' 1""","75""",Southpaw,170 lbs.
Giga Chikadze,25-Aug-88,"6' 0""","74""",Orthodox,145 lbs.
Sako Chivitchian,11-Mar-84,"5' 11""",,,155 lbs.
Mu Bae Choi,27-Jun-70,"6' 2""",,Orthodox,230 lbs.
Hong Man Choi,30-Oct-80,"7' 2""",,Orthodox,330 lbs.
Dooho Choi,10-Apr-91,"5' 10""","70""",Orthodox,145 lbs.
SeungWoo Choi,3-Nov-92,"6' 0""","74""",Orthodox,145 lbs.
John Cholish,17-Dec-83,"5' 11""","72""",Orthodox,155 lbs.
Ryo Chonan,8-Oct-76,"5' 9""","70""",Orthodox,170 lbs.
Katlyn Chookagian,28-Dec-88,"5' 9""","68""",Orthodox,125 lbs.
Will Chope,8-Sep-90,"6' 4""","76""",Switch,145 lbs.
Joachim Christensen,7-Nov-78,"6' 3""","76""",Orthodox,205 lbs.
Dan Christison,26-Apr-72,"6' 8""",,Orthodox,265 lbs.
Anthony Christodoulou,30-Jul-87,"5' 9""","72""",Orthodox,155 lbs.
Steven Ciaccio,,"6' 0""",,,170 lbs.
Mike Ciesnolevicz,28-Oct-79,"6' 0""",,Orthodox,235 lbs.
Hannah Cifers,26-Jun-92,"5' 1""","62""",Orthodox,115 lbs.
Branko Cikatic,3-Oct-54,"6' 1""",,Orthodox,215 lbs.
Nikolajus Cilkinas,,,,Orthodox,
Misha Cirkunov,27-Feb-87,"6' 3""","77""",Orthodox,205 lbs.
Johnny Cisneros,5-Feb-80,"5' 11""",,,170 lbs.
Laverne Clark,2-Dec-73,"5' 11""",,Orthodox,170 lbs.
Logan Clark,16-Feb-85,"6' 2""",,Orthodox,185 lbs.
Mychal Clark,,"6' 3""",,Orthodox,224 lbs.
Dominic Clark,1-Aug-85,"5' 10""",,,155 lbs.
Heather Jo Clark,19-Sep-80,"5' 6""","64""",Orthodox,115 lbs.
Devin Clark,12-Apr-90,"6' 0""","75""",Orthodox,205 lbs.
Jessica-Rose Clark,28-Nov-87,"5' 5""","64""",Orthodox,125 lbs.
John Clarke,15-Aug-77,,,,170 lbs.
Mitch Clarke,24-Nov-85,"5' 10""","73""",Orthodox,155 lbs.
Rich Clementi,31-Mar-76,"5' 9""","72""",Southpaw,155 lbs.
Chris Clements,9-Feb-76,"5' 10""","70""",Orthodox,170 lbs.
RJ Clifford,,,,,160 lbs.
Josh Clopton,11-Jul-81,"5' 6""","68""",Orthodox,145 lbs.
Brian Cobb,,"5' 11""",,Orthodox,155 lbs.
Darryl Cobb,4-Aug-80,"5' 9""",,,185 lbs.
Dave Cochran,10-May-73,"5' 6""",,,155 lbs.
Dakota Cochrane,1-May-86,"5' 8""",,,155 lbs.
Marloes Coenen,31-Mar-81,"5' 9""","67""",,145 lbs.
Marc Cofer,3-Mar-72,,,,185 lbs.
John Cofer,29-Apr-84,"5' 9""","73""",Southpaw,155 lbs.
Felipe Colares,31-Mar-94,"5' 8""","69""",Orthodox,135 lbs.
Wayne Cole,,"6' 1""",,Orthodox,205 lbs.
Devin Cole,1-Oct-76,"6' 4""",,Orthodox,240 lbs.
Coltin Cole,24-Apr-89,,,,185 lbs.
Ivan Cole,30-Nov-90,"5' 9""",,,135 lbs.
Mark Coleman,20-Dec-64,"6' 1""","75""",Orthodox,205 lbs.
Cortez Coleman,28-Jan-82,"6' 1""",,,185 lbs.
Clay Collard,10-Mar-93,"5' 11""","73""",Orthodox,145 lbs.
Jamie Colleen,2-Nov-85,"5' 3""","65""",Orthodox,115 lbs.
Jake Collier,25-Oct-88,"6' 3""","78""",Orthodox,205 lbs.
Christian Colombo,1-Jul-80,"6' 5""","80""",Orthodox,265 lbs.
Wes Combs,18-Jun-73,"6' 2""",,Orthodox,205 lbs.
Carlos Condit,26-Apr-84,"6' 2""","75""",Orthodox,170 lbs.
Chris Condo,,"6' 0""",,Orthodox,335 lbs.
Tristan Connelly,12-Dec-85,"5' 10""","68""",Orthodox,170 lbs.
Marcos Conrado Jr.,14-Mar-82,"6' 2""",,Orthodox,220 lbs.
Jeremiah Constant,19-Jul-74,"6' 1""",,Orthodox,240 lbs.
Chad Cook,7-Nov-79,"6' 2""",,,205 lbs.
TJ Cook,8-Sep-82,,,,205 lbs.
Brett Cooper,2-Jul-87,"6' 0""",,Orthodox,170 lbs.
Bill Cooper,5-May-84,,,,155 lbs.
Bobby Cooper,,"6' 1""",,,155 lbs.
Amanda Cooper,22-Oct-91,"5' 3""","64""",Switch,115 lbs.
Kit Cope,17-Mar-77,"6' 0""",,Orthodox,170 lbs.
Chris Cope,5-Mar-83,"6' 0""","72""",Orthodox,170 lbs.
Josh Copeland,20-Oct-82,"6' 1""","75""",Orthodox,265 lbs.
Michael Cora,24-Aug-89,"6' 1""","77""",Southpaw,170 lbs.
Akira Corassani,27-Aug-82,"5' 8""","68""",Orthodox,145 lbs.
Muhsin Corbbrey,18-May-78,"5' 10""",,Orthodox,155 lbs.
Daniel Cormier,20-Mar-79,"5' 11""","72""",Orthodox,235 lbs.
Bethe Correia,22-Jun-83,"5' 5""","64""",Orthodox,135 lbs.
Wesley Correira,11-Nov-78,"6' 3""",,Orthodox,260 lbs.
Tracy Cortez,10-Dec-93,"5' 5""","65""",Orthodox,135 lbs.
Chad Corvin,,"6' 5""",,,255 lbs.
Miguel Cosio,,"6' 4""",,,205 lbs.
Jadson Costa,,"5' 7""",,Orthodox,155 lbs.
Randy Costa,6-Jul-94,"5' 9""","73""",Switch,135 lbs.
Patrick Cote,29-Feb-80,"5' 11""","71""",Orthodox,170 lbs.
JC Cottrell,4-Nov-89,"5' 9""","71""",Orthodox,155 lbs.
JR Coughran,17-May-94,"5' 6""","71""",Orthodox,145 lbs.
Rashad Coulter,27-Nov-81,"5' 11""","76""",Orthodox,205 lbs.
Dave Courchaine,,"5' 8""",,,170 lbs.
Randy Couture,22-Jun-63,"6' 1""","75""",Orthodox,205 lbs.
Kim Couture,18-Dec-75,"5' 8""",,Orthodox,135 lbs.
Ryan Couture,27-Aug-82,"5' 10""","75""",Orthodox,155 lbs.
Nikk Covert,4-Aug-69,"5' 8""",,,185 lbs.
Colby Covington,22-Feb-88,"5' 11""","72""",Orthodox,170 lbs.
Jeff Cox,2-Aug-68,"5' 10""",,Orthodox,155 lbs.
Nathan Coy,24-Jul-78,"5' 10""","69""",Southpaw,170 lbs.
Andrew Craig,15-Jan-86,"6' 1""","76""",Orthodox,170 lbs.
Paul Craig,27-Nov-87,"6' 3""","76""",Orthodox,205 lbs.
Dan Cramer,31-Oct-85,"6' 2""",,Orthodox,170 lbs.
Alberto Crane,14-Jul-76,"5' 5""",,Orthodox,155 lbs.
Tim Credeur,9-Jul-77,"6' 3""","75""",Orthodox,185 lbs.
Paul Creighton,4-Jun-70,"5' 6""",,Southpaw,155 lbs.
Allen Crowder,8-Nov-89,"6' 3""","76""",Orthodox,245 lbs.
Daron Cruickshank,11-Jun-85,"5' 8""","72""",Switch,155 lbs.
Richard Crunkilton,25-Nov-79,"5' 7""",,Orthodox,155 lbs.
Jimmy Crute,4-Mar-96,"6' 2""","74""",Orthodox,205 lbs.
Marcio Cruz,24-Apr-78,"6' 4""",,Orthodox,232 lbs.
Dominick Cruz,9-Mar-85,"5' 8""","68""",Orthodox,135 lbs.
Aalon Cruz,20-Sep-89,"6' 0""","78""",Switch,145 lbs.
Jay Cucciniello,23-Jul-86,"5' 7""",,Orthodox,155 lbs.
Josh Culibao,24-May-94,"5' 10""","73""",Orthodox,155 lbs.
Chris Culley,25-Mar-86,,,,145 lbs.
Abel Cullum,21-Apr-87,"5' 7""",,Orthodox,139 lbs.
Zak Cummings,2-Aug-84,"6' 0""","75""",Southpaw,185 lbs.
Patrick Cummins,16-Nov-80,"6' 2""","76""",Orthodox,205 lbs.
Luke Cummo,27-Apr-80,"6' 0""","74""",Orthodox,170 lbs.
Alton Cunningham,24-Jun-93,"6' 2""","77""",Orthodox,205 lbs.
Larry Cureton,,"6' 2""",,Orthodox,240 lbs.
Jeff Curran,2-Sep-77,"5' 6""","69""",Orthodox,135 lbs.
Kailin Curran,11-Apr-91,"5' 4""","65""",Orthodox,115 lbs.
Pat Curran,31-Aug-87,"5' 9""",,,145 lbs.
Chris Curtis,15-Jul-87,"5' 10""",,Orthodox,170 lbs.
Ion Cutelaba,14-Dec-93,"6' 1""","75""",Southpaw,205 lbs.
Gleidson Cutis,7-Feb-89,"5' 9""",,Orthodox,155 lbs.
Sarah D'alelio,13-Dec-80,"5' 7""",,,145 lbs.
Marcos da Matta,18-Mar-73,"5' 4""",,,145 lbs.
Jussier Formiga,14-Apr-85,"5' 5""","67""",Orthodox,125 lbs.
Claudio Silva,6-Sep-82,"5' 11""","71""",Southpaw,170 lbs.
Henrique da Silva,1-Sep-89,"6' 3""","76""",Orthodox,205 lbs.
Alex Da Silva,4-Feb-96,"5' 8""","73""",Orthodox,155 lbs.
Nicolas Dalby,16-Nov-84,"5' 11""","74""",Orthodox,170 lbs.
Paul Daley,21-Feb-83,"5' 9""","76""",Orthodox,170 lbs.
Dave Dalgliesh,5-Apr-78,"6' 2""",,Orthodox,205 lbs.
Aisling Daly,24-Dec-87,"5' 2""","64""",Orthodox,115 lbs.
Rodrigo Damm,3-Feb-80,"5' 7""","71""",Orthodox,155 lbs.
Carina Damm,,"5' 4""",,,135 lbs.
Cindy Dandois,26-Oct-84,"5' 7""","68""",Orthodox,135 lbs.
Jarjis Danho,15-Oct-83,"6' 3""","74""",Orthodox,265 lbs.
Raymond Daniels,,"6' 2""",,Southpaw,185 lbs.
Alexandre Dantas,1-Mar-79,"6' 2""",,Orthodox,238 lbs.
Eduardo Dantas,3-Feb-89,"5' 10""",,,135 lbs.
Mac Danzig,2-Jan-80,"5' 8""","70""",Orthodox,155 lbs.
Karen Darabedyan,18-Dec-86,"5' 7""","68""",Orthodox,155 lbs.
Beneil Dariush,6-May-89,"5' 10""","72""",Southpaw,155 lbs.
Sean Daugherty,4-Dec-75,"6' 0""",,,175 lbs.
Kyle Daukaus,27-Feb-93,"6' 3""","76""",Southpaw,185 lbs.
Marcus Davis,24-Aug-73,"5' 10""","70""",Southpaw,170 lbs.
LC Davis,28-Oct-80,"5' 8""","69""",Southpaw,135 lbs.
Phil Davis,25-Sep-84,"6' 2""","79""",Orthodox,205 lbs.
Lemont Davis,,"5' 8""",,Orthodox,170 lbs.
Mike Davis,7-Oct-92,"6' 0""","72""",Orthodox,145 lbs.
Justin Davis,1-Apr-83,"5' 11""",,,205 lbs.
Alexis Davis,4-Oct-84,"5' 6""","68""",Orthodox,125 lbs.
Danny Davis,28-Jul-82,"6' 2""",,,170 lbs.
Brandon Davis,8-May-90,"5' 10""","72""",Orthodox,135 lbs.
Hakeem Dawodu,2-Jul-91,"5' 8""","73""",Orthodox,145 lbs.
Grant Dawson,20-Feb-94,"5' 10""","72""",Switch,145 lbs.
Jason Day,19-May-81,"6' 0""","72""",Orthodox,185 lbs.
Martin Day,10-Nov-88,"5' 10""","73""",Orthodox,135 lbs.
Angel De Anda,28-May-85,"5' 9""",,Orthodox,225 lbs.
Yorgan De Castro,19-Dec-86,"6' 0""","74""",Orthodox,250 lbs.
Geraldo de Freitas,30-Sep-91,"5' 7""","72""",Orthodox,135 lbs.
Philip De Fries,21-Apr-86,"6' 5""","82""",Orthodox,250 lbs.
Chris de la Rocha,15-May-79,"6' 3""","80""",Orthodox,250 lbs.
Montana De La Rosa,14-Feb-95,"5' 7""","68""",Orthodox,125 lbs.
Mark De La Rosa,31-Aug-94,"5' 6""","65""",Orthodox,135 lbs.
Mike de la Torre,22-Sep-86,"5' 11""","71""",Orthodox,145 lbs.
Rodrigo de Lima,12-Mar-91,"5' 7""","75""",Orthodox,155 lbs.
Edilberto de Oliveira,22-Nov-82,"6' 0""",,Orthodox,170 lbs.
Johil de Oliveira,,"5' 6""",,Orthodox,170 lbs.
Jorge de Oliveira,22-Jan-80,"5' 8""","71""",Orthodox,155 lbs.
Maria Oliveira,12-Dec-96,"5' 5""",,Orthodox,115 lbs.
Isabela de Padua,4-Sep-91,"5' 3""","64""",Orthodox,125 lbs.
Germaine de Randamie,24-Apr-84,"5' 9""","71""",Orthodox,135 lbs.
Crezio de Souza,,,,Orthodox,170 lbs.
Tom DeBlass,14-May-82,"6' 0""","75""",Orthodox,185 lbs.
Rafael  Del Real,,"5' 11""",,,225 lbs.
Shane del Rosario,23-Sep-83,"6' 4""","79""",Southpaw,250 lbs.
Humberto DeLeon,12-Nov-89,,,,135 lbs.
Rolando Delgado,22-Nov-81,"6' 3""","77""",Orthodox,155 lbs.
Roland Delorme,18-Dec-83,"5' 9""","71""",Orthodox,135 lbs.
Jon Delos Reyes,19-Aug-87,"5' 6""","67""",Orthodox,125 lbs.
Jason DeLucia,24-Jul-69,"5' 11""",,Southpaw,190 lbs.
Justin DeMoney,1-Jul-85,,,,170 lbs.
Chris Dempsey,8-Sep-87,"5' 10""","72""",Orthodox,185 lbs.
Nick Denis,11-Oct-83,"5' 7""",,Orthodox,135 lbs.
Thomas Denny,19-Apr-71,"5' 10""",,Orthodox,170 lbs.
Jason Dent,12-Jun-80,"5' 10""","71""",Orthodox,155 lbs.
Mackenzie Dern,24-Mar-93,"5' 4""","63""",Orthodox,115 lbs.
Booker DeRousse,23-Mar-81,"6' 2""",,,205 lbs.
Tony DeSouza,26-Jul-74,"6' 0""","70""",Southpaw,170 lbs.
Cory Devela,,"5' 0""",,Orthodox,185 lbs.
Edwin DeWees,7-Aug-82,"6' 1""",,Orthodox,185 lbs.
Alessio Di Chirico,12-Dec-89,"6' 0""","74""",Orthodox,185 lbs.
Micol Di Segni,29-Dec-87,"5' 3""","60""",Orthodox,115 lbs.
Cyrille Diabate,6-Oct-73,"6' 6""","81""",Southpaw,205 lbs.
Thomas Diagne,3-Sep-83,"6' 1""",,,154 lbs.
Marc Diakiese,16-Mar-93,"5' 10""","73""",Orthodox,155 lbs.
Tyler Diamond,18-Mar-91,"5' 7""","69""",Orthodox,145 lbs.
Eldo Xavier Dias,16-Jul-64,"5' 11""",,,180 lbs.
Rafael Dias,20-Oct-79,"5' 9""",,Orthodox,145 lbs.
Hacran Dias,16-Jun-84,"5' 8""","69""",Orthodox,155 lbs.
Nick Diaz,2-Aug-83,"6' 1""","76""",Southpaw,185 lbs.
Nate Diaz,16-Apr-85,"6' 0""","76""",Southpaw,170 lbs.
Michael Diaz,,,,,260 lbs.
Adrian Diaz,26-Apr-88,"5' 10""",,Southpaw,145 lbs.
Mark Dickman,19-Jul-84,"5' 9""",,,145 lbs.
Josh Diekmann,9-Oct-76,"5' 4""",,,246 lbs.
Kyle Dietz,29-Apr-86,"5' 8""",,Orthodox,135 lbs.
Seth Dikun,5-Aug-80,"5' 10""","69""",Orthodox,135 lbs.
TJ Dillashaw,7-Feb-86,"5' 6""","67""",Orthodox,125 lbs.
Ralph Dillon,,"6' 2""",,Orthodox,205 lbs.
Rodolfo Marques Diniz,23-Jan-84,"5' 6""",,,135 lbs.
Helio Dipp,,"6' 5""",,Orthodox,185 lbs.
Rico DiSciullo,12-Oct-86,"5' 8""","71""",Orthodox,135 lbs.
Anthony Do,,"5' 4""",,,125 lbs.
Russell Doane,13-Aug-86,"5' 7""","70""",Orthodox,135 lbs.
Drew Dober,19-Oct-88,"5' 8""","70""",Southpaw,155 lbs.
Shana Dobson,30-Mar-89,"5' 6""","69""",Orthodox,125 lbs.
David Dodd,22-Sep-73,"6' 2""",,Orthodox,200 lbs.
John Dodson,26-Sep-84,"5' 3""","66""",Orthodox,135 lbs.
Joe Doerksen,9-Oct-77,"6' 0""","75""",Orthodox,185 lbs.
Mike Dolce,15-Apr-76,"5' 11""",,,185 lbs.
Roman Dolidze,15-Jul-88,"6' 3""",,,205 lbs.
Cameron Dollar,12-May-87,"5' 11""",,Orthodox,155 lbs.
CB Dollaway,10-Aug-83,"6' 2""","76""",Orthodox,185 lbs.
Dennis Dombrow,17-Mar-86,,,,145 lbs.
John Donaldson,9-Jul-92,"5' 8""",,,145 lbs.
Cody Donovan,20-Feb-81,"6' 3""","74""",Orthodox,205 lbs.
Houston Dorr,,"6' 1""",,Orthodox,210 lbs.
Rafael Dos Anjos,26-Oct-84,"5' 8""","70""",Southpaw,170 lbs.
Junior Dos Santos,30-Jan-84,"6' 4""","77""",Orthodox,238 lbs.
Geronimo dos Santos,17-Aug-80,"6' 3""",,Orthodox,264 lbs.
Antonio Dos Santos,21-Jul-88,"5' 10""","72""",Orthodox,185 lbs.
Anderson Dos Santos,24-Jul-85,"5' 5""","70""",Orthodox,135 lbs.
Tiago Trator,12-Apr-87,"5' 9""","70""",Orthodox,145 lbs.
Alexander Doskalchuk,13-Mar-90,"5' 6""",,,125 lbs.
David Douglas,16-Aug-81,"5' 11""",,,155 lbs.
Danny Downes,8-Apr-86,"6' 0""","72""",Orthodox,155 lbs.
Derek Downey,27-Apr-80,"6' 1""",,Orthodox,185 lbs.
John Doyle,21-Nov-76,"5' 11""",,Orthodox,205 lbs.
Edson Drago,29-Aug-77,"6' 4""",,Orthodox,220 lbs.
Tomasz Drwal,22-Jan-82,"6' 1""","76""",Orthodox,205 lbs.
Robert Drysdale,5-Oct-81,"6' 3""","78""",Orthodox,205 lbs.
Hugo Duarte,9-Aug-68,"6' 0""",,Orthodox,240 lbs.
Antonio Duarte,,"5' 7""",,,135 lbs.
Joe Duarte,25-Jan-77,,,,155 lbs.
Milana Dudieva,4-Aug-89,"5' 3""","61""",Orthodox,135 lbs.
Adin Duenas,2-Jul-88,"5' 6""",,,145 lbs.
Todd Duffee,6-Dec-85,"6' 3""","78""",Orthodox,260 lbs.
Joe Duffy,18-Feb-88,"5' 10""","73""",Orthodox,155 lbs.
Alexis Dufresne,31-Aug-90,"5' 9""","68""",Orthodox,135 lbs.
Jessamyn Duke,24-Jun-86,"5' 11""","73""",Orthodox,135 lbs.
Kelly Dullanty,4-Nov-77,"5' 8""",,Orthodox,155 lbs.
Norma Dumont,1-Oct-90,"5' 7""","67""",Orthodox,135 lbs.
Evan Dunham,18-Dec-81,"5' 10""","70""",Southpaw,155 lbs.
Tom Duquesnoy,21-Jun-93,"5' 7""","68""",Orthodox,135 lbs.
Reuben Duran,2-Jul-83,"5' 7""","69""",Orthodox,135 lbs.
Luiz Dutra,6-May-82,"5' 11""","71""",Orthodox,170 lbs.
Rilley Dutro,3-Sep-87,"5' 8""","70""",Orthodox,125 lbs.
Merab Dvalishvili,10-Jan-91,"5' 6""","68""",Orthodox,135 lbs.
David Dvorak,5-Jun-92,"5' 5""","68""",Orthodox,125 lbs.
Matt Dwyer,17-Dec-89,"6' 4""","76""",Orthodox,170 lbs.
Rolando Dy,11-Aug-90,"5' 8""","69""",Orthodox,145 lbs.
Cody East,29-Jun-88,"6' 3""","74""",Orthodox,245 lbs.
Marvin Eastman,8-Jun-71,"5' 9""","73""",Orthodox,185 lbs.
Mike Easton,25-Jan-84,"5' 6""","70""",Southpaw,135 lbs.
Vincent Eazelle,7-Dec-80,"5' 11""",,,155 lbs.
Ross Ebanez,18-May-75,"5' 9""",,Southpaw,154 lbs.
Brian Ebersole,27-Nov-80,"6' 0""","73""",Southpaw,170 lbs.
Mark Eddiva,16-Feb-86,"5' 8""","68""",Orthodox,145 lbs.
Frankie Edgar,16-Oct-81,"5' 6""","68""",Orthodox,145 lbs.
Abdul-Kerim Edilov,25-Nov-91,"6' 2""","78""",Orthodox,205 lbs.
Johnny Eduardo,3-Aug-78,"5' 7""","71""",Orthodox,135 lbs.
Yves Edwards,30-Sep-76,"5' 9""","73""",Southpaw,155 lbs.
Justin Edwards,26-Jan-83,"5' 10""","70""",Orthodox,155 lbs.
Leon Edwards,25-Aug-91,"6' 2""","74""",Southpaw,170 lbs.
Te Edwards,11-Sep-90,"5' 8""","72""",Orthodox,155 lbs.
Adli Edwards,28-Aug-89,,,,145 lbs.
Tom Egan,,"5' 11""",,Orthodox,170 lbs.
Justin Eilers,28-Jun-78,"6' 1""",,Orthodox,235 lbs.
Jon Olav Einemo,10-Dec-75,"6' 6""",,Orthodox,253 lbs.
Per Eklund,,"5' 10""","72""",Orthodox,155 lbs.
Saul Elizondo,17-Jul-85,"5' 7""",,,135 lbs.
Darren Elkins,16-May-84,"5' 10""","71""",Orthodox,145 lbs.
Jake Ellenberger,28-Mar-85,"5' 9""","71""",Orthodox,170 lbs.
Joe Ellenberger,28-Mar-85,"5' 9""","72""",Orthodox,155 lbs.
Tim Elliott,24-Dec-86,"5' 7""","66""",Southpaw,125 lbs.
Lisa Ellis,15-Nov-82,"5' 4""","62""",,115 lbs.
Anna Elmose,6-Oct-84,"5' 3""","65""",Orthodox,115 lbs.
Aaron Ely,18-Mar-89,"5' 8""",,,135 lbs.
Ramazan Emeev,23-May-87,"5' 10""","76""",Southpaw,170 lbs.
Aleksander Emelianenko,2-Aug-81,"6' 6""",,Orthodox,255 lbs.
Fedor Emelianenko,28-Sep-76,"6' 0""","74""",Orthodox,230 lbs.
Rob Emerson,30-Jul-81,"5' 9""","70""",Orthodox,155 lbs.
