R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Carla Esparza;Michelle Waterson;0;0;45 of 103;44 of 98;43%;44%;48 of 106;44 of 98;1 of 10;0 of 0;10%;0%;0;0;0;0;0;0;34 of 88;15 of 60;6 of 8;13 of 16;5 of 7;16 of 22;39 of 94;39 of 92;5 of 8;5 of 6;1 of 1;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 09, 2020;Jacksonville, Florida, USA;Women's Strawweight Bout;Carla Esparza
Vicente Luque;Niko Price;1;0;130 of 237;129 of 291;54%;44%;130 of 237;144 of 307;0 of 0;1 of 4;0%;25%;0;0;0;1;0;0;85 of 186;81 of 230;8 of 12;15 of 25;37 of 39;33 of 36;126 of 229;116 of 268;1 of 4;9 of 19;3 of 4;4 of 4;TKO - Doctor's Stoppage;3;3:37;3 Rnd (5-5-5);Jason Herzog;May 09, 2020;Jacksonville, Florida, USA;Welterweight Bout;Vicente Luque
Bryce Mitchell;Charles Rosa;0;0;40 of 49;5 of 10;81%;50%;60 of 74;12 of 17;3 of 3;0 of 0;100%;0%;5;0;14;0;0;0;27 of 36;2 of 7;13 of 13;1 of 1;0 of 0;2 of 2;0 of 3;4 of 8;0 of 0;0 of 0;40 of 46;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 09, 2020;Jacksonville, Florida, USA;Featherweight Bout;Bryce Mitchell
Ryan Spann;Sam Alvey;0;0;51 of 115;57 of 108;44%;52%;52 of 116;103 of 156;2 of 7;0 of 0;28%;0%;1;0;0;0;0;0;41 of 102;40 of 90;10 of 13;3 of 3;0 of 0;14 of 15;48 of 109;46 of 94;3 of 6;11 of 14;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 09, 2020;Jacksonville, Florida, USA;Light Heavyweight Bout;Ryan Spann
Alistair Overeem;Walt Harris;1;1;68 of 85;25 of 48;80%;52%;97 of 115;25 of 48;1 of 1;0 of 0;100%;0%;0;0;3;0;0;0;58 of 75;19 of 41;8 of 8;6 of 7;2 of 2;0 of 0;7 of 10;6 of 19;1 of 1;1 of 3;60 of 74;18 of 26;KO/TKO;2;3:00;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 16, 2020;Jacksonville, Florida, USA;Heavyweight Bout;Alistair Overeem
Claudia Gadelha;Angela Hill;0;1;84 of 210;90 of 176;40%;51%;92 of 218;93 of 179;1 of 4;0 of 0;25%;0%;0;0;1;0;0;0;61 of 179;60 of 136;14 of 21;29 of 39;9 of 10;1 of 1;78 of 202;86 of 170;2 of 4;4 of 4;4 of 4;0 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 16, 2020;Jacksonville, Florida, USA;Women's Strawweight Bout;Claudia Gadelha
Dan Ige;Edson Barboza;0;1;79 of 164;80 of 144;48%;55%;100 of 189;87 of 152;1 of 4;0 of 0;25%;0%;0;0;0;0;0;0;54 of 132;40 of 86;17 of 24;25 of 39;8 of 8;15 of 19;67 of 149;54 of 107;5 of 8;8 of 9;7 of 7;18 of 28;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;May 16, 2020;Jacksonville, Florida, USA;Featherweight Bout;Dan Ige
Eryk Anders;Krzysztof Jotko;0;0;41 of 97;66 of 116;42%;56%;73 of 132;101 of 154;0 of 5;0 of 5;0%;0%;0;0;0;0;0;0;19 of 68;47 of 92;22 of 27;13 of 17;0 of 2;6 of 7;23 of 66;53 of 99;18 of 31;13 of 17;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 16, 2020;Jacksonville, Florida, USA;Middleweight Bout;Krzysztof Jotko
Song Yadong;Marlon Vera;0;0;101 of 201;92 of 164;50%;56%;119 of 221;115 of 187;0 of 1;2 of 3;0%;66%;0;0;0;1;0;0;79 of 173;41 of 98;12 of 17;29 of 40;10 of 11;22 of 26;79 of 169;68 of 127;21 of 31;20 of 29;1 of 1;4 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 16, 2020;Jacksonville, Florida, USA;Featherweight Bout;Song Yadong
Matt Brown;Miguel Baeza;0;2;33 of 61;37 of 73;54%;50%;33 of 61;42 of 79;0 of 0;0 of 0;0%;0%;0;0;0;1;0;0;25 of 51;21 of 54;8 of 10;5 of 7;0 of 0;11 of 12;21 of 44;29 of 62;12 of 17;1 of 2;0 of 0;7 of 9;KO/TKO;2;0:18;3 Rnd (5-5-5);Jason Herzog;May 16, 2020;Jacksonville, Florida, USA;Welterweight Bout;Miguel Baeza
Anthony Hernandez;Kevin Holland;0;1;0 of 3;14 of 18;0%;77%;0 of 3;14 of 18;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;0 of 3;9 of 13;0 of 0;4 of 4;0 of 0;1 of 1;0 of 3;4 of 7;0 of 0;5 of 5;0 of 0;5 of 6;KO/TKO;1;0:39;3 Rnd (5-5-5);Michael Cardoso;May 16, 2020;Jacksonville, Florida, USA;Middleweight Bout;Kevin Holland
Giga Chikadze;Irwin Rivera;1;0;61 of 135;34 of 94;45%;36%;61 of 135;35 of 95;1 of 1;0 of 4;100%;0%;0;0;0;0;0;0;33 of 100;20 of 71;13 of 16;10 of 18;15 of 19;4 of 5;55 of 122;34 of 94;2 of 4;0 of 0;4 of 9;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 16, 2020;Jacksonville, Florida, USA;Featherweight Bout;Giga Chikadze
Darren Elkins;Nate Landwehr;0;0;121 of 253;118 of 234;47%;50%;142 of 276;121 of 237;1 of 13;0 of 0;7%;0%;0;0;1;0;0;1;101 of 229;96 of 211;14 of 18;8 of 9;6 of 6;14 of 14;103 of 224;96 of 206;17 of 28;22 of 28;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 16, 2020;Jacksonville, Florida, USA;Featherweight Bout;Nate Landwehr
Cortney Casey;Mara Romero Borella;0;0;6 of 12;5 of 7;50%;71%;18 of 24;21 of 24;0 of 0;1 of 2;0%;50%;2;0;0;0;0;0;4 of 8;2 of 4;1 of 1;1 of 1;1 of 3;2 of 2;2 of 7;2 of 4;1 of 2;2 of 2;3 of 3;1 of 1;Submission;1;3:36;3 Rnd (5-5-5);Michael Cardoso;May 16, 2020;Jacksonville, Florida, USA;Women's Flyweight Bout;Cortney Casey
Rodrigo Nascimento;Don'Tale Mayes;0;0;32 of 52;27 of 48;61%;56%;45 of 65;42 of 65;2 of 2;0 of 0;100%;0%;1;0;2;0;0;0;14 of 33;10 of 30;6 of 7;7 of 8;12 of 12;10 of 10;26 of 45;21 of 41;3 of 3;6 of 7;3 of 4;0 of 0;Submission;2;2:05;3 Rnd (5-5-5);Dan Miragliotta;May 16, 2020;Jacksonville, Florida, USA;Heavyweight Bout;Rodrigo Nascimento
