R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Eddie Wineland;Sean O'Malley;0;1;4 of 7;13 of 20;57%;65%;4 of 7;13 of 20;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;3 of 5;5 of 10;1 of 2;5 of 7;0 of 0;3 of 3;4 of 7;13 of 20;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;1:54;3 Rnd (5-5-5);Herb Dean;June 06, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Sean O'Malley
Alex Caceres;Chase Hooper;1;0;103 of 164;53 of 187;62%;28%;109 of 170;60 of 197;1 of 1;0 of 2;100%;0%;0;0;0;0;0;1;79 of 136;38 of 167;13 of 16;11 of 14;11 of 12;4 of 6;84 of 140;46 of 179;5 of 6;4 of 4;14 of 18;3 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;June 06, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Alex Caceres
Ian Heinisch;Gerald Meerschaert;1;0;20 of 25;3 of 10;80%;30%;22 of 27;3 of 10;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;17 of 22;1 of 8;1 of 1;2 of 2;2 of 2;0 of 0;5 of 5;3 of 10;0 of 0;0 of 0;15 of 20;0 of 0;KO/TKO;1;1:14;3 Rnd (5-5-5);Chris Tognoni;June 06, 2020;Las Vegas, Nevada, USA;Middleweight Bout;Ian Heinisch
Cody Stamann;Brian Kelleher;0;0;89 of 179;57 of 177;49%;32%;113 of 205;64 of 185;2 of 4;1 of 3;50%;33%;0;0;0;0;0;0;68 of 153;26 of 128;16 of 21;12 of 28;5 of 5;19 of 21;77 of 163;53 of 170;7 of 10;3 of 6;5 of 6;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 06, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Cody Stamann
Charles Byrd;Maki Pitolo;0;0;11 of 25;29 of 59;44%;49%;16 of 31;33 of 65;1 of 2;3 of 3;50%;100%;0;0;1;2;1;0;10 of 24;20 of 48;1 of 1;9 of 11;0 of 0;0 of 0;7 of 17;16 of 39;0 of 0;5 of 5;4 of 8;8 of 15;KO/TKO;2;1:10;3 Rnd (5-5-5);Herb Dean;June 06, 2020;Las Vegas, Nevada, USA;Middleweight Bout;Maki Pitolo
Jussier Formiga;Alex Perez;0;2;18 of 41;29 of 61;43%;47%;18 of 41;29 of 61;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;17 of 38;12 of 39;0 of 2;2 of 4;1 of 1;15 of 18;17 of 40;24 of 55;1 of 1;5 of 6;0 of 0;0 of 0;KO/TKO;1;4:06;3 Rnd (5-5-5);Keith Peterson;June 06, 2020;Las Vegas, Nevada, USA;Flyweight Bout;Alex Perez
Alonzo Menifield;Devin Clark;0;0;39 of 85;79 of 124;45%;63%;54 of 103;150 of 198;0 of 2;1 of 10;0%;10%;0;0;0;1;0;0;31 of 75;23 of 67;6 of 8;56 of 57;2 of 2;0 of 0;13 of 45;21 of 62;26 of 40;57 of 61;0 of 0;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 06, 2020;Las Vegas, Nevada, USA;Light Heavyweight Bout;Devin Clark
Evan Dunham;Herbert Burns;0;0;3 of 6;5 of 10;50%;50%;4 of 7;8 of 13;0 of 0;1 of 1;0%;100%;0;1;0;1;0;0;2 of 5;4 of 6;1 of 1;1 of 3;0 of 0;0 of 1;2 of 4;4 of 8;1 of 2;0 of 1;0 of 0;1 of 1;Submission;1;1:20;3 Rnd (5-5-5);Chris Tognoni;June 06, 2020;Las Vegas, Nevada, USA;Catch Weight Bout;Herbert Burns
Anthony Smith;Glover Teixeira;0;1;86 of 210;138 of 226;40%;61%;87 of 212;202 of 297;1 of 3;1 of 2;33%;50%;0;0;0;5;0;0;63 of 171;112 of 192;17 of 31;17 of 25;6 of 8;9 of 9;85 of 205;63 of 129;1 of 5;12 of 21;0 of 0;63 of 76;KO/TKO;5;1:04;5 Rnd (5-5-5-5-5);Jason Herzog;May 13, 2020;Jacksonville, Florida, USA;Light Heavyweight Bout;Glover Teixeira
Ben Rothwell;Ovince Saint Preux;0;1;56 of 110;42 of 82;50%;51%;86 of 142;46 of 87;1 of 3;0 of 0;33%;0%;0;0;0;0;0;0;37 of 89;27 of 62;15 of 17;13 of 15;4 of 4;2 of 5;40 of 79;33 of 70;14 of 29;9 of 12;2 of 2;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 13, 2020;Jacksonville, Florida, USA;Heavyweight Bout;Ben Rothwell
Alexander Hernandez;Drew Dober;0;0;34 of 108;61 of 145;31%;42%;41 of 115;65 of 149;3 of 5;0 of 0;60%;0%;0;0;0;0;0;0;22 of 88;48 of 126;12 of 19;6 of 10;0 of 1;7 of 9;28 of 100;54 of 135;5 of 7;7 of 10;1 of 1;0 of 0;KO/TKO;2;4:25;3 Rnd (5-5-5);Herb Dean;May 13, 2020;Jacksonville, Florida, USA;Lightweight Bout;Drew Dober
Ricky Simon;Ray Borg;0;0;67 of 144;47 of 91;46%;51%;93 of 170;53 of 98;7 of 11;0 of 2;63%;0%;0;0;5;0;0;1;44 of 115;33 of 71;13 of 18;14 of 19;10 of 11;0 of 1;54 of 129;47 of 91;5 of 7;0 of 0;8 of 8;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);;May 13, 2020;Jacksonville, Florida, USA;Bantamweight Bout;Ricky Simon
Andrei Arlovski;Philipe Lins;0;0;50 of 107;41 of 99;46%;41%;50 of 107;41 of 99;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;22 of 69;26 of 71;7 of 13;7 of 18;21 of 25;8 of 10;46 of 101;38 of 95;4 of 6;3 of 4;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 13, 2020;Jacksonville, Florida, USA;Heavyweight Bout;Andrei Arlovski
